"","team","game.id","three_pt_Attempts","three_pt_Made","three_pt_Percentage","win","total_pts.points"
"2330","uta",34446,20,8,40,1,91
"2331","uta",34455,24,7,29.2,1,101
"2332","uta",34462,26,11,42.3,0,104
"2333","uta",34477,20,7,35,0,93
"2334","uta",34496,23,8,34.8,1,94
"2335","uta",34504,23,9,39.1,0,79
"2336","uta",34516,34,13,38.2,1,100
"2337","uta",34540,31,16,51.6,1,110
"2338","uta",34545,26,7,26.9,1,114
"2339","uta",34560,23,8,34.8,1,106
"2340","uta",34588,23,8,34.8,1,112
"2341","uta",34599,24,6,25,1,109
"2342","uta",34613,21,5,23.8,0,95
"2343","uta",34618,22,7,31.8,0,93
"2344","uta",34633,26,6,23.1,1,96
"2345","uta",34648,25,10,40,0,95
"2346","uta",34678,29,11,37.9,1,104
"2347","uta",34700,33,13,39.4,1,105
"2348","uta",34712,26,10,38.5,1,120
"2349","uta",34729,32,14,43.8,1,127
"2350","uta",34737,29,13,44.8,0,105
"2351","uta",34755,31,8,25.8,0,104
"2352","uta",34768,23,4,17.4,0,72
"2353","uta",34783,22,11,50,1,111
"2354","uta",34800,23,8,34.8,1,109
"2355","uta",34817,24,11,45.8,1,102
"2356","uta",34833,22,9,40.9,0,106
"2357","uta",34843,19,4,21,0,80
"2358","uta",34855,26,12,46.2,1,112
"2359","uta",34871,33,10,30.3,1,110
"2360","uta",34884,27,10,37,1,88
"2361","uta",34894,31,12,38.7,1,115
"2362","uta",34913,20,9,45,0,104
"2363","uta",34936,21,14,66.7,1,114
"2364","uta",34948,28,13,46.4,1,97
"2365","uta",34954,21,5,23.8,0,83
"2366","uta",34972,25,7,28,0,86
"2367","uta",34986,26,6,23.1,0,100
"2368","uta",35006,28,7,25,1,108
"2369","uta",35022,26,8,30.8,0,95
"2370","uta",35042,27,15,55.6,1,108
"2371","uta",35060,32,13,40.6,1,112
"2372","uta",35074,25,10,40,1,95
"2373","uta",35086,24,9,37.5,0,103
"2374","uta",35104,23,13,56.5,1,106
"2375","uta",35125,25,14,56,1,120
"2376","uta",35134,19,6,31.6,0,86
"2377","uta",35151,35,13,37.1,1,105
"2378","uta",35167,26,10,38.5,1,101
"2379","was",33954,20,6,30,0,99
"2380","was",33979,25,5,20,0,103
"2381","was",33995,10,3,30,0,103
"2382","was",34010,20,5,25,1,95
"2383","was",34021,17,6,35.3,0,86
"2384","was",34034,27,10,37,0,106
"2385","was",34047,21,10,47.6,1,118
"2386","was",34062,15,3,20,0,94
"2387","was",34073,13,4,30.8,0,95
"2388","was",34098,23,8,34.8,0,102
"2389","was",34109,25,15,60,1,119
"2390","was",34126,27,11,40.7,0,111
"2391","was",34140,28,10,35.7,1,106
"2392","was",34166,29,6,20.7,1,94
"2393","was",34180,22,6,27.3,0,100
"2394","was",34193,25,10,40,1,101
"2395","was",34210,28,10,35.7,0,115
"2396","was",34229,11,7,63.6,0,105
"2397","was",34246,34,14,41.2,1,118
"2398","was",34255,23,11,47.8,0,116
"2399","was",34272,19,6,31.6,1,92
"2400","was",34286,21,8,38.1,1,110
"2401","was",34303,23,5,21.7,0,101
"2402","was",34315,18,5,27.8,1,109
"2403","was",34329,25,12,48,1,122
"2404","was",34346,19,10,52.6,1,117
"2405","was",34353,33,8,24.2,0,105
"2406","was",34372,18,3,16.7,1,107
"2407","was",34387,24,7,29.2,0,96
"2408","was",34401,29,12,41.4,1,107
"2409","was",34416,22,8,36.4,1,111
"2410","was",34433,22,11,50,1,118
"2411","was",34458,26,6,23.1,0,91
"2412","was",34464,30,11,36.7,0,105
"2413","was",34484,22,12,54.6,1,112
"2414","was",34502,32,10,31.2,1,107
"2415","was",34511,22,11,50,1,101
"2416","was",34523,26,10,38.5,0,108
"2417","was",34544,17,8,47.1,1,109
"2418","was",34554,23,13,56.5,1,120
"2419","was",34568,29,8,27.6,1,104
"2420","was",34578,32,13,40.6,1,113
"2421","was",34591,26,8,30.8,0,112
"2422","was",34605,25,10,40,1,109
"2423","was",34616,20,9,45,1,123
"2424","was",34642,31,13,41.9,1,112
"2425","was",34654,21,10,47.6,1,107
"2426","was",34664,22,7,31.8,1,117
"2427","was",34682,33,12,36.4,1,116
"2428","was",34695,31,10,32.3,1,105
"2429","was",34709,29,12,41.4,0,135
"2430","was",34724,25,9,36,1,114
"2431","was",34745,29,10,34.5,1,112
"2432","was",34760,21,13,61.9,1,120
"2433","was",34788,29,15,51.7,1,111
"2434","was",34796,24,5,20.8,0,112
"2435","was",34817,22,8,36.4,0,92
"2436","was",34829,28,12,42.9,1,112
"2437","was",34836,25,9,36,1,105
"2438","was",34850,30,10,33.3,0,106
"2439","was",34870,26,14,53.8,1,115
"2440","was",34888,18,7,38.9,1,131
"2441","was",34898,26,11,42.3,1,123
"2442","was",34912,26,9,34.6,1,130
"2443","was",34923,25,12,48,1,125
"2444","was",34935,26,7,26.9,0,104
"2445","was",34944,30,12,40,0,107
"2446","was",34961,26,10,38.5,1,112
"2447","was",34970,33,11,33.3,0,93
"2448","was",34987,35,8,22.9,0,102
"2449","was",35003,34,11,32.4,1,104
"2450","was",35012,26,10,38.5,1,129
"2451","was",35023,18,8,44.4,1,127
"2452","was",35050,23,6,26.1,1,119
"2453","was",35059,34,13,38.2,0,124
"2454","was",35074,17,5,29.4,0,88
"2455","was",35092,27,10,37,0,115
"2456","was",35095,34,17,50,1,118
"2457","was",35116,34,14,41.2,1,106
"2458","was",35132,22,8,36.4,0,103
"2459","was",35148,19,7,36.8,1,105
"2460","was",35161,26,7,26.9,0,102
