"","team","game.id","three_pt_Attempts","three_pt_Made","three_pt_Percentage","total_pts.points","opp_three_pt_Attempts","opp_three_pt_Made","opp_three_pt_Percentage","win_team","diff_tpa","diff_tpm","diff_tpp","Percent_of_Points","opp_Percent_of_Points","diff_pop"
"67","bos",34925,37,16,43.2,100,25,7,28,1,12,9,15.2,0.48,0.2625,0.2175
"68","bos",34946,33,13,39.4,117,27,8,29.6,1,6,5,9.8,0.333333333333333,0.230769230769231,0.102564102564103
"69","bos",34962,29,7,24.1,98,35,11,31.4,1,-6,-4,-7.3,0.214285714285714,0.347368421052632,-0.133082706766917
"70","bos",34977,29,6,20.7,99,33,12,36.4,0,-4,-6,-15.7,0.181818181818182,0.342857142857143,-0.161038961038961
"71","bos",34987,33,10,30.3,110,35,8,22.9,1,-2,2,7.4,0.272727272727273,0.235294117647059,0.0374331550802139
"72","bos",35000,27,11,40.7,109,28,11,39.3,1,-1,0,1.40000000000001,0.302752293577982,0.33,-0.0272477064220183
"73","bos",35016,41,14,34.2,130,19,6,31.6,1,22,8,2.6,0.323076923076923,0.15,0.173076923076923
"74","bos",35033,24,8,33.3,112,29,7,24.1,1,-5,1,9.2,0.214285714285714,0.194444444444444,0.0198412698412698
"75","bos",35053,37,12,32.4,100,22,8,36.4,0,15,4,-4,0.36,0.233009708737864,0.126990291262136
"76","bos",35069,33,12,36.4,117,30,12,40,1,3,0,-3.6,0.307692307692308,0.310344827586207,-0.0026525198938992
"77","bos",35082,37,12,32.4,110,25,7,28,1,12,5,4.4,0.327272727272727,0.223404255319149,0.103868471953578
"78","bos",35109,33,7,21.2,91,36,11,30.6,0,-3,-4,-9.4,0.230769230769231,0.289473684210526,-0.0587044534412955
"79","bos",35117,43,15,34.9,116,23,11,47.8,0,20,4,-12.9,0.387931034482759,0.268292682926829,0.119638351555929
"80","bos",35129,39,17,43.6,121,28,9,32.1,1,11,8,11.5,0.421487603305785,0.236842105263158,0.184645498042627
"81","bos",35144,38,14,36.8,114,31,8,25.8,1,7,6,11,0.368421052631579,0.228571428571429,0.13984962406015
"82","bos",35159,37,12,32.4,112,23,6,26.1,1,14,6,6.3,0.321428571428571,0.191489361702128,0.129939209726444
"83","bro",33946,44,15,34.1,117,32,11,34.4,0,12,4,-0.299999999999997,0.384615384615385,0.270491803278689,0.114123581336696
"84","bro",33959,33,10,30.3,103,24,7,29.2,1,9,3,1.1,0.29126213592233,0.223404255319149,0.0678578806031812
"85","bro",33971,34,11,32.4,108,22,8,36.4,0,12,3,-4,0.305555555555556,0.218181818181818,0.0873737373737374
"86","bro",33983,31,5,16.1,88,27,11,40.7,0,4,-6,-24.6,0.170454545454545,0.279661016949153,-0.109206471494607
"87","bro",33997,27,13,48.2,109,25,9,36,1,2,4,12.2,0.357798165137615,0.267326732673267,0.0904714324643474
"88","bro",34012,36,9,25,95,30,10,33.3,0,6,-1,-8.3,0.284210526315789,0.303030303030303,-0.0188197767145136
"89","bro",34041,33,12,36.4,119,28,12,42.9,1,5,0,-6.5,0.302521008403361,0.327272727272727,-0.0247517188693659
"90","bro",34046,33,11,33.3,96,30,10,33.3,0,3,1,0,0.34375,0.272727272727273,0.0710227272727273
"91","bro",34079,37,16,43.2,122,33,8,24.2,1,4,8,19,0.39344262295082,0.230769230769231,0.162673392181589
"92","bro",34092,33,10,30.3,95,25,14,56,0,8,-4,-25.7,0.315789473684211,0.330708661417323,-0.0149191877331123
"93","bro",34097,41,12,29.3,118,28,9,32.1,0,13,3,-2.8,0.305084745762712,0.216,0.0890847457627119
"94","bro",34118,29,11,37.9,105,26,7,26.9,0,3,4,11,0.314285714285714,0.169354838709677,0.144930875576037
"95","bro",34134,35,10,28.6,109,36,15,41.7,0,-1,-5,-13.1,0.275229357798165,0.348837209302326,-0.0736078515041604
"96","bro",34157,31,10,32.3,92,38,15,39.5,0,-7,-5,-7.2,0.326086956521739,0.405405405405405,-0.0793184488836663
"97","bro",34174,34,11,32.4,97,26,11,42.3,0,8,0,-9.9,0.34020618556701,0.279661016949153,0.0605451686178578
"98","bro",34187,39,16,41,105,23,13,56.5,0,16,3,-15.5,0.457142857142857,0.319672131147541,0.137470725995316
"99","bro",34201,38,13,34.2,127,40,13,32.5,1,-2,0,1.7,0.307086614173228,0.319672131147541,-0.0125855169743126
"100","bro",34217,40,12,30,93,34,15,44.1,0,6,-3,-14.1,0.387096774193548,0.405405405405405,-0.0183086312118571
"101","bro",34231,41,11,26.8,103,24,6,25,0,17,5,1.8,0.320388349514563,0.160714285714286,0.159674063800277
"102","bro",34246,27,11,40.7,113,34,14,41.2,0,-7,-3,-0.5,0.292035398230089,0.355932203389831,-0.063896805159742
"103","bro",34263,26,9,34.6,116,37,11,29.7,1,-11,-2,4.9,0.232758620689655,0.297297297297297,-0.0645386766076421
"104","bro",34293,27,7,25.9,101,26,14,53.8,0,1,-7,-27.9,0.207920792079208,0.323076923076923,-0.115156130997715
"105","bro",34304,20,7,35,118,43,17,39.5,0,-23,-10,-4.5,0.177966101694915,0.418032786885246,-0.240066685190331
"106","bro",34318,35,11,31.4,107,27,6,22.2,1,8,5,9.2,0.308411214953271,0.185567010309278,0.122844204643993
"107","bro",34330,27,11,40.7,111,29,7,24.1,0,-2,4,16.6,0.297297297297297,0.177966101694915,0.119331195602382
"108","bro",34348,34,12,35.3,107,28,12,42.9,0,6,0,-7.6,0.336448598130841,0.333333333333333,0.00311526479750779
"109","bro",34360,35,10,28.6,104,18,8,44.4,0,17,2,-15.8,0.288461538461538,0.206896551724138,0.0815649867374005
"110","bro",34377,35,13,37.1,101,37,12,32.4,0,-2,1,4.7,0.386138613861386,0.307692307692308,0.0784463061690784
"111","bro",34384,30,8,26.7,99,35,8,22.9,0,-5,0,3.8,0.242424242424242,0.201680672268908,0.0407435701553349
