"","team","game.id","three_pt_Attempts","three_pt_Made","three_pt_Percentage","total_pts.points"
"332","tor","33995",25,10,40,113
"333","tor","34011",25,6,24,96
"334","tor","34029",30,7,23.3,91
"335","tor","34052",26,11,42.3,112
"336","tor","34063",22,6,27.3,113
"337","tor","34071",22,7,31.8,118
"338","tor","34093",29,13,44.8,117
"339","tor","34105",25,10,40,121
"340","tor","34121",23,8,34.8,113
"341","tor","34136",24,9,37.5,99
"342","tor","34147",19,8,42.1,115
"343","tor","34159",23,12,52.2,115
"344","tor","34172",32,14,43.8,105
"345","tor","34194",19,13,68.4,122
"346","tor","34208",32,16,50,120
"347","tor","34224",29,12,41.4,113
"348","tor","34233",24,13,54.2,128
"349","tor","34245",32,13,40.6,112
"350","tor","34271",27,12,44.4,124
"351","tor","34279",20,9,45,101
"352","tor","34302",25,14,56,122
"353","tor","34314",29,10,34.5,123
"354","tor","34332",21,10,47.6,121
"355","tor","34349",27,7,25.9,109
"356","tor","34360",18,8,44.4,116
"357","tor","34392",21,8,38.1,104
"358","tor","34409",34,12,35.3,95
"359","tor","34425",35,13,37.1,111
"360","tor","34430",27,7,25.9,91
"361","tor","34452",17,10,58.8,123
"362","tor","34465",18,4,22.2,82
"363","tor","34477",21,8,38.1,101
"364","tor","34494",31,8,25.8,118
"365","tor","34503",25,11,44,122
"366","tor","34512",22,10,45.4,114
"367","tor","34533",28,11,39.3,132
"368","tor","34546",22,8,36.4,116
"369","tor","34562",19,10,52.6,119
"370","tor","34567",24,6,25,89
"371","tor","34582",30,7,23.3,78
"372","tor","34603",27,7,25.9,103
"373","tor","34614",25,6,24,106
"374","tor","34625",34,10,29.4,99
"375","tor","34638",25,10,40,102
"376","tor","34655",28,12,42.9,113
"377","tor","34665",31,10,32.3,108
"378","tor","34672",31,8,25.8,104
"379","tor","34686",28,10,35.7,94
"380","tor","34705",19,5,26.3,103
"381","tor","34711",24,10,41.7,118
"382","tor","34730",28,11,39.3,109
"383","tor","34758",16,8,50,101
"384","tor","34771",20,5,25,94
"385","tor","34777",32,12,37.5,90
"386","tor","34798",15,5,33.3,107
"387","tor","34818",20,7,35,112
"388","tor","34822",26,7,26.9,92
"389","tor","34836",20,7,35,96
"390","tor","34850",25,11,44,114
"391","tor","34860",21,7,33.3,94
"392","tor","34893",21,8,38.1,94
"393","tor","34909",25,4,16,99
"394","tor","34919",15,2,13.3,89
"395","tor","34932",25,9,36,100
"396","tor","34955",20,5,25,102
"397","tor","34963",27,9,33.3,87
"398","tor","34980",27,12,44.4,116
"399","tor","34991",23,8,34.8,122
"400","tor","35008",23,6,26.1,101
"401","tor","35024",21,9,42.9,94
"402","tor","35037",15,10,66.7,131
"403","tor","35054",31,11,35.5,106
"404","tor","35066",27,14,51.8,111
"405","tor","35088",19,6,31.6,113
"406","tor","35097",23,5,21.7,90
"407","tor","35106",30,10,33.3,105
"408","tor","35120",20,9,45,96
"409","tor","35136",31,10,32.3,110
"410","tor","35158",26,8,30.8,98
"411","gsw","33943",33,7,21.2,100
"412","gsw","33965",28,9,32.1,122
"413","gsw","33976",29,8,27.6,106
"414","gsw","33994",26,10,38.5,127
"415","gsw","34009",30,14,46.7,122
"416","gsw","34018",32,5,15.6,97
"417","gsw","34039",35,16,45.7,116
"418","gsw","34056",33,17,51.5,116
"419","gsw","34059",30,14,46.7,125
"420","gsw","34083",33,16,48.5,133
"421","gsw","34105",36,13,36.1,127
"422","gsw","34119",28,9,32.1,104
"423","gsw","34131",38,14,36.8,124
"424","gsw","34142",36,13,36.1,120
"425","gsw","34163",36,19,52.8,149
"426","gsw","34178",28,11,39.3,109
"427","gsw","34184",22,11,50,115
"428","gsw","34199",35,12,34.3,105
"429","gsw","34221",44,12,27.3,127
"430","gsw","34239",21,14,66.7,138
"431","gsw","34254",37,14,37.8,142
"432","gsw","34270",30,7,23.3,115
"433","gsw","34275",29,12,41.4,106
"434","gsw","34291",27,9,33.3,89
"435","gsw","34298",32,13,40.6,116
"436","gsw","34311",34,14,41.2,113
"437","gsw","34328",32,9,28.1,103
"438","gsw","34345",28,14,50,135
"439","gsw","34367",23,9,39.1,104
"440","gsw","34377",37,12,32.4,117
"441","gsw","34386",27,11,40.7,119
"442","gsw","34397",30,9,30,108
"443","gsw","34425",23,14,60.9,121
"444","gsw","34441",33,11,33.3,108
"445","gsw","34460",25,11,44,127
"446","gsw","34474",36,13,36.1,125
"447","gsw","34490",30,8,26.7,119
"448","gsw","34506",29,10,34.5,117
"449","gsw","34518",27,11,40.7,107
"450","gsw","34531",29,15,51.7,127
"451","gsw","34559",34,15,44.1,126
"452","gsw","34574",21,10,47.6,121
"453","gsw","34586",38,15,39.5,125
"454","gsw","34601",42,19,45.2,118
"455","gsw","34608",30,8,26.7,102
"456","gsw","34627",28,11,39.3,113
"457","gsw","34647",34,17,50,144
"458","gsw","34658",26,8,30.8,113
"459","gsw","34681",48,21,43.8,126
"460","gsw","34685",34,14,41.2,133
"461","gsw","34704",44,15,34.1,106
"462","gsw","34732",28,15,53.6,123
"463","gsw","34743",33,15,45.4,122
"464","gsw","34752",31,13,41.9,130
"465","gsw","34767",32,8,25,110
"466","gsw","34787",36,13,36.1,109
"467","gsw","34794",25,13,52,123
"468","gsw","34813",31,11,35.5,112
"469","gsw","34823",29,6,20.7,119
"470","gsw","34829",28,8,28.6,108
"471","gsw","34846",30,6,20,87
"472","gsw","34868",35,13,37.1,112
"473","gsw","34877",44,20,45.4,119
"474","gsw","34899",30,6,20,86
"475","gsw","34908",24,7,29.2,102
"476","gsw","34920",17,5,29.4,85
"477","gsw","34943",32,14,43.8,106
"478","gsw","34959",26,10,38.5,122
"479","gsw","34975",23,12,52.2,117
"480","gsw","34989",33,15,45.4,111
"481","gsw","34995",30,13,43.3,112
"482","gsw","35021",31,10,32.3,114
"483","gsw","35034",31,17,54.8,106
"484","gsw","35048",41,11,26.8,113
"485","gsw","35058",26,13,50,110
"486","gsw","35076",32,11,34.4,107
"487","gsw","35092",36,16,44.4,139
"488","gsw","35102",32,14,43.8,121
"489","gsw","35111",31,13,41.9,120
"490","gsw","35135",33,10,30.3,123
"491","gsw","35151",25,9,36,99
"492","gsw","35169",36,12,33.3,109
"493","lac","33957",29,8,27.6,114
"494","lac","33975",27,6,22.2,88
"495","lac","33985",16,6,37.5,116
"496","lac","34004",22,7,31.8,83
"497","lac","34014",27,8,29.6,99
"498","lac","34026",23,9,39.1,116
"499","lac","34038",25,13,52,114
"500","lac","34055",32,11,34.4,111
"501","lac","34066",27,11,40.7,110
"502","lac","34075",24,11,45.8,119
"503","lac","34092",25,14,56,127
"504","lac","34107",25,9,36,107
"505","lac","34123",29,13,44.8,121
"506","lac","34132",27,11,40.7,102
"507","lac","34147",25,10,40,123
"508","lac","34160",32,15,46.9,124
"509","lac","34170",21,7,33.3,97
"510","lac","34189",24,4,16.7,70
"511","lac","34201",40,13,32.5,122
"512","lac","34219",31,13,41.9,113
"513","lac","34227",24,10,41.7,114
"514","lac","34243",30,10,33.3,102
"515","lac","34270",26,8,30.8,98
"516","lac","34295",36,17,47.2,133
"517","lac","34306",23,11,47.8,121
"518","lac","34316",25,13,52,113
"519","lac","34337",25,7,28,102
"520","lac","34346",24,7,29.2,110
"521","lac","34366",36,16,44.4,119
"522","lac","34381",28,11,39.3,106
"523","lac","34395",29,13,44.8,88
"524","lac","34400",29,10,34.5,102
"525","lac","34410",25,9,36,102
"526","lac","34436",33,13,39.4,116
"527","lac","34447",30,8,26.7,88
"528","lac","34459",16,7,43.8,109
"529","lac","34473",23,9,39.1,115
"530","lac","34491",31,13,41.9,106
